f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,is_Stego
-5.7828,-6.6198,-6.4999,0.80718,1.3759,1.0997,-9.9384,-1.4594,-1.721,282.65,7.2116,8.0999,-6.4333,1.303,-1.5386,7.2221,-6.5532,-5.8126,-6.4235,1.5149,1.5935,1.5037,-0.93306,-0.99123,-1.1558,5.136,5.3021,6.2502,-5.7538,1.5819,-1.1975,6.967,-2.387,0.73241,-0.3852,3.6403,-3.0202,1.5988,-0.97567,5.1907,-2.6369,0.82604,-0.067946,3.2761,4.4374,3.4573,0.66204,6.9758,-2.8292,2.064,-0.90252,4.5149,-1.166,2.3745,0.14426,5.8634,-1.3835,1.6643,-1.0527,5.971,-6.6274,1.2878,-1.4914,7.4955,-1.8192,3.0385,0.61244,6.5516,-2.0483,1.9629,-0.75106,5.0148,-7.1347,1.5838,-1.0386,5.4953,1
-6.6831,-6.3987,-6.6227,1.1733,0.99858,1.2709,-3.5106,-4.3764,-3.4059,62.667,88.334,56.028,-6.6875,1.1906,-1.5807,7.3591,-5.8915,-5.9803,-5.5418,1.3954,1.4639,1.4527,-1.3142,-1.2288,-1.2189,6.8863,5.7592,5.6581,-5.1282,1.0106,-1.6389,8.9263,-2.4119,0.89337,-0.22686,3.3302,-2.9634,1.767,-0.80878,4.8389,-2.692,0.86722,-0.25896,3.2546,4.706,3.0593,-0.13032,3.4681,-2.6696,2.103,-0.79688,4.0482,-0.4975,1.585,-0.65475,6.0667,-1.5888,1.6373,-0.70767,4.5119,-6.8178,1.2196,-1.4463,6.2819,-0.72797,2.0845,-0.44411,5.7455,-1.7822,1.9924,-0.66839,4.6893,-7.1657,1.494,-1.2925,6.0923,1
-6.2744,-6.7263,-6.4289,0.94102,1.2462,1.2757,-5.2145,-3.6307,-5.7305,117.5,65.102,122.26,-6.4106,1.1456,-1.7508,7.7749,-7.2806,-7.3749,-6.9905,1.3535,1.4527,1.4778,-1.2314,-1.3493,-1.2749,5.8207,6.4429,6.6117,-6.9266,1.3225,-1.2945,6.4101,-3.197,0.53704,-0.72299,4.4311,-3.885,1.4363,-1.1741,5.6896,-3.4643,0.54989,-0.6914,4.3586,3.2488,2.5064,-0.34466,4.4639,-3.1322,1.8013,-0.91377,4.853,-1.0975,1.6033,-0.7649,7.4779,-1.5559,1.2357,-1.435,6.3802,-6.655,1.3279,-1.4161,5.7872,-2.1924,1.8892,0.073796,8.7192,-2.8818,1.6905,-1.0836,5.2029,-7.9578,1.435,-1.344,6.6129,1
-6.7534,-6.5217,-6.1618,1.3568,1.3013,0.94032,-1.3447,-1.5381,-4.3128,6.2993,6.8641,110.82,-6.3345,1.6409,-1.1555,5.2314,-6.9029,-6.9417,-6.7293,1.7819,1.8267,1.6919,-1.0778,-1.0588,-1.098,5.3818,5.2296,5.2496,-6.4078,1.584,-1.1578,5.1187,-3.0776,0.80712,-0.68719,3.7719,-3.9302,2.0054,-1.1428,5.6195,-3.3869,1.1914,-0.63038,3.3415,1.9785,8.192,-0.22441,2.661,-3.1301,2.8598,-0.5415,3.4695,-2.1608,3.0704,-1.0814,4.0324,-2.6039,3.3631,-1.1065,3.9118,-5.7563,0.62948,-2.1693,13.064,-3.0023,4.0281,-1.0551,4.4505,-3.4438,4.1088,-1.0874,3.8991,-7.8259,1.5415,-1.1361,5.2526,1
-7.1145,-6.4152,-7.3305,1.0603,0.58619,1.2271,-1.6591,-2.31,-1.5753,7.713,13.624,7.4432,-6.7433,0.80308,-1.9493,9.4886,-7.6444,-7.6937,-7.7863,1.5942,1.5908,1.4621,-1.1366,-1.3598,-1.285,5.3268,5.9498,5.7369,-7.3714,1.4402,-1.3412,6.1219,-3.5705,1.2886,-1.3833,5.1595,-4.372,2.1318,-1.1991,5.2213,-3.8546,1.6547,-1.4487,5.1631,1.7956,10.021,-1.3596,4.3734,-3.1952,2.3433,-0.60925,4.1713,-2.5059,2.0789,-0.7665,3.7757,-2.6275,2.233,-0.87288,3.5923,-6.9491,0.95059,-1.7755,8.8332,-3.8272,3.4096,-1.0606,4.505,-4.0149,3.5088,-1.0521,3.8428,-8.4205,1.3574,-1.3372,6.2684,1
-6.7877,-6.8352,-6.7701,1.3419,1.3385,1.3925,-3.062,-2.8794,-4.3531,48.407,47.389,83.729,-6.6179,1.0206,-1.8194,8.6805,-7.3759,-7.2695,-7.361,1.5945,1.4243,1.5981,-1.3153,-1.2103,-0.93363,6.6282,5.3061,4.8576,-6.9352,1.3151,-1.4513,7.0612,-3.3185,0.73671,-0.82026,4.1952,-4.1781,1.8144,-1.0644,5.0647,-3.5996,0.94476,-0.89635,3.866,2.1644,6.5392,-0.82927,3.4805,-3.1931,2.4593,-0.68212,4.3005,-2.1288,2.7049,-0.86268,3.6969,-2.1933,1.6284,-1.2853,5.3053,-6.419,1.1071,-1.6966,8.075,-3.4103,3.8713,-0.86719,3.8439,-3.5007,2.9164,-1.0964,4.0573,-8.0628,1.4616,-1.2918,6.2346,1
-6.5032,-6.8136,-6.3911,1.1118,1.6229,0.93561,-4.1569,-2.6591,-4.9526,78.614,37.019,109.55,-6.465,0.87843,-1.9311,9.7393,-7.3524,-7.1399,-7.3745,1.4225,1.6224,1.4935,-1.2811,-1.3264,-1.2436,5.8782,5.4954,5.316,-6.8495,1.2357,-1.6208,7.0655,-3.5077,1.1637,-0.97075,4.2548,-4.3494,2.3702,-1.1031,4.9547,-3.8392,1.3062,-0.73444,3.5711,2.0921,8.0644,-1.1699,4.2239,-3.7446,2.9303,-0.39224,3.5052,-1.6149,1.7304,-0.81704,3.8218,-2.1951,2.8009,-1.191,4.0796,-6.6335,1.3011,-1.2484,5.8652,-3.2054,4.3757,-0.98145,3.6655,-3.5168,3.4745,-0.94967,3.7104,-8.0378,1.4301,-1.2594,6.0298,1
-6.5103,-6.7595,-6.4906,1.0423,1.299,0.93833,-1.8205,-1.4813,-1.7664,8.3626,6.3218,8.4164,-6.5069,0.87626,-1.7928,8.3972,-7.3462,-7.1195,-7.3412,1.4501,1.6153,1.4008,-1.3121,-1.3521,-1.2823,5.8192,6.0016,5.7941,-6.7935,1.1194,-1.6811,8.2844,-3.5671,1.1995,-0.96165,4.0712,-4.421,2.3756,-1.0339,4.6675,-3.8886,1.4105,-0.84353,3.6902,2.1899,8.3593,-1.2653,4.3399,-3.8761,3.0334,-0.44798,3.6397,-1.5882,1.8443,-0.89403,4.313,-2.0864,2.9314,-1.4519,5.7336,-6.6169,1.3084,-1.4411,6.9236,-3.0931,4.1525,-0.99237,3.9699,-3.3672,3.4142,-0.97045,3.8693,-8.058,1.4845,-1.1886,5.6373,1
-6.9003,-6.0884,-6.7371,1.5043,0.48719,1.0013,-2.0724,-2.5021,-3.4882,27.459,16.494,60.088,-6.7183,1.1633,-1.8537,8.7215,-7.358,-7.5941,-7.5437,1.5854,1.7412,1.5432,-1.3053,-1.2771,-1.3673,5.741,5.5458,7.034,-7.0547,1.334,-1.4732,6.7806,-3.7163,1.5533,-0.85194,3.1229,-4.4993,2.3544,-1.0043,4.5771,-4.0917,2.1056,-0.80891,2.7989,0.89294,13.414,-0.76969,2.5215,-3.0339,2.5933,-0.62115,3.7893,-2.8938,2.9262,-0.59711,3.8194,-2.7476,1.9462,-0.71393,3.7481,-6.5527,0.89507,-1.5838,7.8955,-4.3731,4.3959,-0.48589,3.445,-4.3467,4.3001,-0.73288,2.861,-8.2183,1.4409,-1.2788,6.1767,1
-6.9577,-6.2335,-6.5487,1.4689,0.87259,1.1071,-1.3374,-4.7144,-1.8883,6.0088,100.21,9.2175,-6.6507,1.0651,-1.866,8.9966,-6.6467,-6.7675,-6.742,1.3966,1.5183,1.5003,-1.2277,-1.3453,-1.3741,5.5023,6.3306,6.4009,-6.4269,1.3842,-1.4468,6.4132,-3.2098,0.59453,-0.9282,4.5981,-4.0589,1.6664,-1.1239,5.1591,-3.4128,0.65304,-0.87032,4.197,2.3813,5.0955,-0.95481,3.9005,-3.3443,2.1481,-0.64531,4.3833,-1.7351,1.6774,-1.0566,5.6997,-1.8748,1.469,-1.4377,6.1653,-6.8038,1.0778,-1.599,7.3733,-2.4479,1.8198,-0.79951,5.8568,-2.6517,1.6878,-1.0105,5.0491,-7.8225,1.3922,-1.3515,6.4331,1
